customer_id,customer_name,province,amount,note
1,"DƯƠNG THỊ AN","Hải Phòng",492986,"ưu đãi cuối năm"
2,"   ĐỖ HOÀI AN","Huế",38361172,"giao hàng nhanh"
3,"lê thu long","Hồ Chí Minh",6175376,"giao hàng nhanh"
4," DƯƠNG HOÀI MAI","Huế",6803481,"mua nhiều lần"
5,"vũ ngọc HẠNH","Khánh Hòa",5264486,"ưu đãi cuối năm"
6,"   DƯƠNG NGỌC BÌNH","Bình Dương",6318800,"mua nhiều lần"
7,"  hoàng minh hiếu","Đà Nẵng","","mua nhiều lần"
8,"    dương quốc yến","Khánh Hòa",8718601,"giao hàng nhanh"
9,"dương ngọc dũng   ","Cần Thơ",3892638,"ưu đãi cuối năm"
10,"  lê ngọc hải ","Bình Dương",15748105,"khách mới"
11,"Đỗ Minh Hà","Cần Thơ",23499019,"đại lý cấp 1"
12," Dương Gia Mai","Hà Nội",397766,"ưu đãi cuối năm"
13,"trần văn long","Bình Dương",5038408,"đại lý cấp 1"
14,"    Phạm Thị Dũng","Hồ Chí Minh",5846276,"ưu đãi cuối năm"
15,"Phạm  Thu Tuấn   ","Hà Nội",7534780,"khách mới"
16," Phạm Minh Phúc","Cần Thơ",40535094,"đại lý cấp 1"
17,"Lý Anh Tuấn","Bình Dương",2550218,"mua nhiều lần"
18,"    NGUYỄN ĐỨC CƯỜNG   ","Quảng Ninh",2857222,"cần chăm sóc"
19," HOÀNG THU LONG   ","Khánh Hòa",14916443,"ưu đãi cuối năm"
20,"","Hà Nội",45496609,"giao hàng nhanh"
21,"   DƯƠNG THỊ hà  ","Khánh Hòa",5214457,""
22,"  Hoàng Văn Cường  ","Hồ Chí Minh",3081115,"khách mới"
23,"  lý minh tuấn ","Hồ Chí Minh",1146603,"cần chăm sóc"
24,"ĐỖ  QUỐC YẾN  ","Nghệ An",5786573,"ưu đãi cuối năm"
25,"Hoàng Minh Dũng  ","Hà Nội",24960146,"ưu đãi cuối năm"
26,"    đặng ngọc lan ","Quảng Ninh",21983483,"giao hàng nhanh"
